id,language,abbreviation,phrase
8d2005ec35280deb6a438dc87b225f89,English,EN,Questa è solo una frase di prova
8d2005ec35280deb6a438dc87b225f89,Italian,IT,Questa è solo una frase di prova
8d2005ec35280deb6a438dc87b225f89,German,DE,Questa è solo una frase di prova
8d2005ec35280deb6a438dc87b225f89,Spanish,ES,Questa è solo una frase di prova
8d2005ec35280deb6a438dc87b225f89,French,FR,Questa è solo una frase di prova
b3072cd11f40eb57fd259555264476c6,English,EN,Questa è solo una frase di prova
b3072cd11f40eb57fd259555264476c6,Italian,IT,Questa è solo una frase di prova
b3072cd11f40eb57fd259555264476c6,German,DE,Questa è solo una frase di prova
b3072cd11f40eb57fd259555264476c6,Spanish,ES,Questa è solo una frase di prova
b3072cd11f40eb57fd259555264476c6,French,FR,Questa è solo una frase di prova
b3072cd11f40eb57fd259555264476c6,Chinese,ZH,Questa è solo una frase di prova
b3072cd11f40eb57fd259555264476c6,Czech,CZ,Questa è solo una frase di prova
b3072cd11f40eb57fd259555264476c6,Russian,RU,Questa è solo una frase di prova
4adc9fee977fa04c357ed4c9b52aa3cc,English,EN,Questa è solo una frase di prova
4adc9fee977fa04c357ed4c9b52aa3cc,Italian,IT,Questa è solo una frase di prova
4adc9fee977fa04c357ed4c9b52aa3cc,German,DE,Questa è solo una frase di prova
4adc9fee977fa04c357ed4c9b52aa3cc,Spanish,ES,Questa è solo una frase di prova
4adc9fee977fa04c357ed4c9b52aa3cc,French,FR,Questa è solo una frase di prova
4adc9fee977fa04c357ed4c9b52aa3cc,Chinese,ZH,Questa è solo una frase di prova
4adc9fee977fa04c357ed4c9b52aa3cc,Czech,CZ,Questa è solo una frase di prova
59c641a72b495d522a7932145d6c02b3,English,EN,Questa è solo una frase di prova
59c641a72b495d522a7932145d6c02b3,Italian,IT,Questa è solo una frase di prova
59c641a72b495d522a7932145d6c02b3,German,DE,Questa è solo una frase di prova
59c641a72b495d522a7932145d6c02b3,Spanish,ES,Questa è solo una frase di prova
59c641a72b495d522a7932145d6c02b3,French,FR,Questa è solo una frase di prova
59c641a72b495d522a7932145d6c02b3,Chinese,ZH,Questa è solo una frase di prova
59c641a72b495d522a7932145d6c02b3,Czech,CZ,Questa è solo una frase di prova
59c641a72b495d522a7932145d6c02b3,Russian,RU,Questa è solo una frase di prova
d227f2faf6ec185e54436d86463f499b,English,EN,Questa è solo una frase di prova
d227f2faf6ec185e54436d86463f499b,Italian,IT,Questa è solo una frase di prova
d227f2faf6ec185e54436d86463f499b,German,DE,Questa è solo una frase di prova
d227f2faf6ec185e54436d86463f499b,Spanish,ES,Questa è solo una frase di prova
d227f2faf6ec185e54436d86463f499b,French,FR,Questa è solo una frase di prova
d227f2faf6ec185e54436d86463f499b,Chinese,ZH,Questa è solo una frase di prova
fe612cc9179e038f97816fce891022a6,English,EN,Questa è solo una frase di prova
fe612cc9179e038f97816fce891022a6,Italian,IT,Questa è solo una frase di prova
fe612cc9179e038f97816fce891022a6,German,DE,Questa è solo una frase di prova
fe612cc9179e038f97816fce891022a6,Spanish,ES,Questa è solo una frase di prova
