id,language,abbreviation,phrase
8d2005ec35280deb6a438dc87b225f89,English,EN,This is just a test sentence
8d2005ec35280deb6a438dc87b225f89,Italian,IT,Questa è solo una frase di prova
8d2005ec35280deb6a438dc87b225f89,German,DE,Das ist nur ein Testsatz
8d2005ec35280deb6a438dc87b225f89,Spanish,ES,Esto es solo una oración de prueba
b3072cd11f40eb57fd259555264476c6,English,EN,This is just a test sentence
b3072cd11f40eb57fd259555264476c6,Italian,IT,Questa è solo una frase di prova
b3072cd11f40eb57fd259555264476c6,German,DE,Das ist nur ein Testsatz
b3072cd11f40eb57fd259555264476c6,Spanish,ES,Esto es solo una oración de prueba
b3072cd11f40eb57fd259555264476c6,French,FR,Ceci est juste une phrase de test
b3072cd11f40eb57fd259555264476c6,Chinese,ZH,Zhè zhǐshì yīgè cèshì yǔjù
b3072cd11f40eb57fd259555264476c6,Czech,CZ,Toto je jen testovací věta
4adc9fee977fa04c357ed4c9b52aa3cc,English,EN,This is just a test sentence
4adc9fee977fa04c357ed4c9b52aa3cc,Italian,IT,Questa è solo una frase di prova
4adc9fee977fa04c357ed4c9b52aa3cc,German,DE,Das ist nur ein Testsatz
4adc9fee977fa04c357ed4c9b52aa3cc,Spanish,ES,Esto es solo una oración de prueba
4adc9fee977fa04c357ed4c9b52aa3cc,French,FR,Ceci est juste une phrase de test
4adc9fee977fa04c357ed4c9b52aa3cc,Chinese,ZH,Zhè zhǐshì yīgè cèshì yǔjù
4adc9fee977fa04c357ed4c9b52aa3cc,Czech,CZ,Toto je jen testovací věta
59c641a72b495d522a7932145d6c02b3,English,EN,This is just a test sentence
59c641a72b495d522a7932145d6c02b3,Italian,IT,Questa è solo una frase di prova
59c641a72b495d522a7932145d6c02b3,German,DE,Das ist nur ein Testsatz
59c641a72b495d522a7932145d6c02b3,Spanish,ES,Esto es solo una oración de prueba
d227f2faf6ec185e54436d86463f499b,English,EN,This is just a test sentence
d227f2faf6ec185e54436d86463f499b,Italian,IT,Questa è solo una frase di prova
d227f2faf6ec185e54436d86463f499b,German,DE,Das ist nur ein Testsatz
d227f2faf6ec185e54436d86463f499b,Spanish,ES,Esto es solo una oración de prueba
d227f2faf6ec185e54436d86463f499b,French,FR,Ceci est juste une phrase de test
fe612cc9179e038f97816fce891022a6,English,EN,This is just a test sentence
fe612cc9179e038f97816fce891022a6,Italian,IT,Questa è solo una frase di prova
fe612cc9179e038f97816fce891022a6,German,DE,Das ist nur ein Testsatz
fe612cc9179e038f97816fce891022a6,Spanish,ES,Esto es solo una oración de prueba
fe612cc9179e038f97816fce891022a6,French,FR,Ceci est juste une phrase de test
6e67b6ad4cc6b420fe86fb975925fb32,English,EN,This is just a test sentence
6e67b6ad4cc6b420fe86fb975925fb32,Italian,IT,Questa è solo una frase di prova
6e67b6ad4cc6b420fe86fb975925fb32,German,DE,Das ist nur ein Testsatz
6e67b6ad4cc6b420fe86fb975925fb32,Spanish,ES,Esto es solo una oración de prueba
c593d7fd658f9ff5bc0c1aee2e9c917e,English,EN,This is just a test sentence
c593d7fd658f9ff5bc0c1aee2e9c917e,Italian,IT,Questa è solo una frase di prova
c593d7fd658f9ff5bc0c1aee2e9c917e,German,DE,Das ist nur ein Testsatz
c593d7fd658f9ff5bc0c1aee2e9c917e,Spanish,ES,Esto es solo una oración de prueba
c593d7fd658f9ff5bc0c1aee2e9c917e,French,FR,Ceci est juste une phrase de test
c593d7fd658f9ff5bc0c1aee2e9c917e,Chinese,ZH,Zhè zhǐshì yīgè cèshì yǔjù
8c1fad5ce0dab8908dee527f88697ce2,English,EN,This is just a test sentence
8c1fad5ce0dab8908dee527f88697ce2,Italian,IT,Questa è solo una frase di prova
8c1fad5ce0dab8908dee527f88697ce2,German,DE,Das ist nur ein Testsatz
8c1fad5ce0dab8908dee527f88697ce2,Spanish,ES,Esto es solo una oración de prueba
8c1fad5ce0dab8908dee527f88697ce2,French,FR,Ceci est juste une phrase de test
8c1fad5ce0dab8908dee527f88697ce2,Chinese,ZH,Zhè zhǐshì yīgè cèshì yǔjù
8c1fad5ce0dab8908dee527f88697ce2,Czech,CZ,Toto je jen testovací věta
8c1fad5ce0dab8908dee527f88697ce2,Russian,RU,Eto vsego lish probnoye predlozheniye
5be32167a2dcc08470287a6029b7e4c5,English,EN,This is just a test sentence
5be32167a2dcc08470287a6029b7e4c5,Italian,IT,Questa è solo una frase di prova
5be32167a2dcc08470287a6029b7e4c5,German,DE,Das ist nur ein Testsatz
5be32167a2dcc08470287a6029b7e4c5,Spanish,ES,Esto es solo una oración de prueba
5be32167a2dcc08470287a6029b7e4c5,French,FR,Ceci est juste une phrase de test
5be32167a2dcc08470287a6029b7e4c5,Chinese,ZH,Zhè zhǐshì yīgè cèshì yǔjù
5be32167a2dcc08470287a6029b7e4c5,Czech,CZ,Toto je jen testovací věta
5be32167a2dcc08470287a6029b7e4c5,Russian,RU,Eto vsego lish probnoye predlozheniye
fa2133f1e5a865a5a5044777824fe147,English,EN,This is just a test sentence
fa2133f1e5a865a5a5044777824fe147,Italian,IT,Questa è solo una frase di prova
fa2133f1e5a865a5a5044777824fe147,German,DE,Das ist nur ein Testsatz
fa2133f1e5a865a5a5044777824fe147,Spanish,ES,Esto es solo una oración de prueba
fa2133f1e5a865a5a5044777824fe147,French,FR,Ceci est juste une phrase de test
fa2133f1e5a865a5a5044777824fe147,Chinese,ZH,Zhè zhǐshì yīgè cèshì yǔjù
fa2133f1e5a865a5a5044777824fe147,Czech,CZ,Toto je jen testovací věta
586938c5a53d9b916498a893248a5da3,English,EN,This is just a test sentence
586938c5a53d9b916498a893248a5da3,Italian,IT,Questa è solo una frase di prova
586938c5a53d9b916498a893248a5da3,German,DE,Das ist nur ein Testsatz
586938c5a53d9b916498a893248a5da3,Spanish,ES,Esto es solo una oración de prueba
586938c5a53d9b916498a893248a5da3,French,FR,Ceci est juste une phrase de test
586938c5a53d9b916498a893248a5da3,Chinese,ZH,Zhè zhǐshì yīgè cèshì yǔjù
586938c5a53d9b916498a893248a5da3,Czech,CZ,Toto je jen testovací věta
09704782c2fd58e9198a4cc8f04e30d0,English,EN,This is just a test sentence
09704782c2fd58e9198a4cc8f04e30d0,Italian,IT,Questa è solo una frase di prova
09704782c2fd58e9198a4cc8f04e30d0,German,DE,Das ist nur ein Testsatz
09704782c2fd58e9198a4cc8f04e30d0,Spanish,ES,Esto es solo una oración de prueba
